index,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,EMA3,T1_50,Daily_Range,Avg_Range,Turn_Threshold,classification,PATTERN,LLLow,LLDate,HHClose,HHDate,HHHigh,VOLATILITY,22DLow,33DLow,BOSS_STATUS,HHEMA1,HHEMA2,HHEMA3,BOSSB,BOSSTP1,BOSSTP2,BOSSTP3,BOSSCL1,BOSSCL2,BOSSTU1,BOSS1,bullish_ratio,bullish_count,strong_bullish,medium_bullish,weak_bullish,BOSS2,buy_price,tp1_price,tp2_price,tp3_price,SNO
2025-12-11,1519.HK,10.170000076293944,10.25,9.979999542236328,10.079999923706056,10.079999923706056,15238939.0,0.0,0.0,10.18674609989181,10.051708172985272,9.943950169642449,9.58350199598916,8.709938212961589,True,True,True,False,0.2700004577636719,0.2760000864664712,0.4140001296997068,HL,HLHHHL,10.979999542236328,2025-12-15,10.5,2025-12-19,10.300000190734863,-0.06,9.279999732971191,9.199999809265137,BY1-2025/10/27,True,True,True,True,False,False,False,False,False,False,False,0.0,0.0,0.0,,,False,,,,,1519.HK
2025-12-12,1519.HK,10.079999923706056,10.90999984741211,10.010000228881836,10.609999656677246,10.609999656677246,37200600.0,0.0,0.0,10.263701292034616,10.100255258523704,9.970069757369304,9.60382868233942,8.725078144784023,True,True,True,False,0.8999996185302734,0.2721429552350726,0.4082144328526089,,,0.0,,0.0,,0.0,0.0,0.0,0.0,TP1-2025/10/27,False,False,False,False,True,False,False,False,False,False,False,0.0,0.0,0.0,,,False,,,,,1519.HK
2025-11-20,1729.HK,15.06999969482422,15.789999961853027,14.649999618530272,14.760000228881836,14.760000228881836,14162445.0,0.0,0.0,14.414907321303309,14.655470012603551,14.419914733141644,12.876837843174554,9.387375061120558,False,False,False,False,1.1400003433227557,0.9362498521804812,1.4043747782707217,LH,LHLLHH,13.119999885559082,2025-11-21,16.440000534057617,2025-11-27,17.389999389648438,0.33,13.43000030517578,13.140000343322754,SB1-2025/11/20,True,True,True,False,False,False,False,False,False,False,True,1.0,4.0,1.0,1.0,2.0,True,15.25,17.389999389648438,19.529998779296875,21.669998168945312,1729.HK
2025-11-03,1833.HK,13.800000190734863,14.56999969482422,13.800000190734863,14.420000076293944,14.420000076293944,19047815.0,0.0,0.0,14.866481052874729,16.04761759994096,16.529501881596815,14.998260679672786,12.705745074945272,False,False,False,False,0.7699995040893572,0.8150001102023656,1.2225001653035483,LH,LHLLHH,13.119999885559082,2025-11-07,15.279999732971191,2025-11-14,15.729999542236328,0.2,13.18000030517578,13.18000030517578,SB1-2025/11/03,False,False,False,False,False,False,False,False,False,False,True,1.0,5.0,1.0,2.0,2.0,True,14.42,15.729999542236328,17.039999084472655,18.349998626708985,1833.HK
2025-11-18,1833.HK,14.880000114440918,15.18000030517578,14.119999885559082,14.289999961853027,14.289999961853027,16297763.0,0.0,0.0,14.457427304106684,14.916758494056566,15.69358224404031,14.830789041729457,12.825853153956569,False,False,False,False,1.0600004196166974,0.7093749642372136,1.0640624463558204,,,0.0,,0.0,,0.0,0.0,0.0,0.0,BY1-2025/11/03,False,False,False,True,False,False,False,False,False,False,False,0.0,0.0,0.0,,,False,,,,,1833.HK
2025-11-10,2400.HK,69.69999694824219,72.5,69.0999984741211,70.6500015258789,70.6500015258789,3019755.0,0.0,0.0,69.76152558098408,71.42372675676721,72.25552986722184,66.69607088192883,51.21210542762672,False,False,False,False,3.4000015258789062,2.7029414457433365,5.405882891486673,LH,LHLLHH,63.5,2025-11-21,73.6500015258789,2025-12-01,75.44999694824219,0.19,64.80000305175781,64.80000305175781,SB1-2025/11/10,False,False,False,False,False,False,False,False,False,False,True,0.83,5.0,1.0,3.0,1.0,True,69.47,75.44999694824219,81.42999389648438,87.40999084472656,2400.HK
2025-12-03,2400.HK,73.8499984741211,73.8499984741211,68.3499984741211,68.5,68.5,3555800.0,0.0,0.0,70.04492050297473,69.86971281634608,70.71912850765715,67.36812492566585,53.46920284630979,False,False,False,False,5.5,2.3970574771656707,4.7941149543313415,,,0.0,,0.0,,0.0,0.0,0.0,0.0,BY1-2025/11/10,False,False,False,True,False,False,False,False,False,False,False,0.0,0.0,0.0,,,False,,,,,2400.HK
2025-12-10,2400.HK,64.5999984741211,64.5999984741211,60.70000076293945,63.150001525878906,63.150001525878906,4700100.0,0.0,0.0,66.79086580058522,68.13059977178133,69.71965021879254,67.16589548051167,53.93173541394555,False,False,False,False,3.8999977111816406,2.30333251953125,4.6066650390625,,,0.0,,0.0,,0.0,0.0,0.0,0.0,CL1-2025/11/10,False,False,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0,,,False,,,,,2400.HK
2025-11-20,2577.HK,78.4000015258789,81.0,76.0999984741211,76.25,76.25,6414950.0,0.0,0.0,74.98131651260975,76.1163406302222,77.25282582940454,71.83377646582518,,False,False,False,False,4.900001525878906,4.086665852864583,8.173331705729167,LH,LHLLHH,67.6500015258789,2025-11-28,81.3499984741211,2025-12-09,89.75,0.33,67.8499984741211,67.8499984741211,SB1-2025/11/20,False,False,False,False,False,False,False,False,False,False,True,0.71,5.0,1.0,4.0,0.0,True,78.7,89.75,100.8,111.85,2577.HK
2025-12-11,2577.HK,81.5999984741211,82.30000305175781,77.94999694824219,78.9000015258789,78.9000015258789,2655400.0,0.0,0.0,77.9953185285806,76.33687182202024,76.4286034743349,72.66098605448005,,False,False,False,False,4.350006103515625,3.84999942779541,7.69999885559082,,,0.0,,0.0,,0.0,0.0,0.0,0.0,BY1-2025/11/20,False,False,False,True,False,False,False,False,False,False,False,0.0,0.0,0.0,,,False,,,,,2577.HK
2025-11-27,2601.HK,30.739999771118164,31.959999084472656,30.520000457763672,31.299999237060547,31.299999237060547,13770700.0,0.0,0.0,31.648638038642584,31.97187558556968,31.97879665297379,31.16867983632572,28.23354570233661,False,False,False,False,1.4399986267089844,0.8717644635368794,1.3076466953053192,LH,LHLLHH,30.26000022888184,2025-12-01,33.97999954223633,2025-12-08,34.720001220703125,0.15,30.5,30.5,SB1-2025/11/27,True,True,True,False,False,False,False,False,False,False,True,0.8,4.0,2.0,2.0,0.0,True,32.49,34.720001220703125,36.95000244140625,39.18000366210937,2601.HK
2025-12-10,2601.HK,33.060001373291016,33.2400016784668,32.63999938964844,32.939998626708984,32.939998626708984,12394517.0,0.0,0.0,32.48269742869417,32.23027585685403,32.08267752016748,31.35126205346189,28.512534025844605,True,True,True,False,0.6000022888183594,0.8458821913775274,1.268823287066291,,,0.0,,0.0,,0.0,0.0,0.0,0.0,BY1-2025/11/27,False,False,False,True,False,False,False,False,False,False,False,0.0,0.0,0.0,,,False,,,,,2601.HK
2025-12-12,2601.HK,32.81999969482422,34.65999984741211,32.63999938964844,34.599998474121094,34.599998474121094,31774113.0,0.0,0.0,32.90593792039086,32.47680841810549,32.20616252778632,31.442548711899708,28.59445631349148,True,True,True,False,2.020000457763672,0.8312497138977049,1.2468745708465572,,,0.0,,0.0,,0.0,0.0,0.0,0.0,TP1-2025/11/27,False,False,False,False,True,False,False,False,False,False,False,0.0,0.0,0.0,,,False,,,,,2601.HK
2025-10-16,2799.HK,1.0,1.0299999713897705,0.9800000190734864,1.0,1.0,113825000.0,0.0,0.0,1.0064482254898546,1.0248909126039,1.062846052840393,1.0469439107444698,0.88867359066574,False,False,False,False,0.049999952316284,0.0321428307465143,0.0482142461197716,LH,LHLLHH,0.959999978542328,2025-10-17,1.059999942779541,2025-10-30,1.090000033378601,0.14,0.959999978542328,0.959999978542328,SB1-2025/10/16,False,False,False,False,False,False,False,False,False,False,True,0.75,6.0,2.0,2.0,2.0,True,1.03,1.090000033378601,1.150000066757202,1.2100001001358032,2799.HK
2025-10-31,2799.HK,1.059999942779541,1.059999942779541,1.0299999713897705,1.0299999713897705,1.0299999713897705,69816163.0,0.0,0.0,1.0272414500227778,1.0238118272043273,1.048447554665468,1.041623780716106,0.8985121199746107,False,False,False,False,0.0299999713897705,0.0335294008255004,0.0502941012382506,,,0.0,,0.0,,0.0,0.0,0.0,0.0,BY1-2025/10/16,False,False,False,True,False,False,False,False,False,False,False,0.0,0.0,0.0,,,False,,,,,2799.HK
2025-12-09,2799.HK,1.0299999713897705,1.0299999713897705,0.9100000262260436,0.9300000071525574,0.9300000071525574,450831169.0,0.0,0.0,1.000949566215348,1.01397833671832,1.0293652363872414,1.033406597011976,0.9227443861267332,False,False,False,False,0.1199999451637269,0.0242857081549507,0.0364285622324261,,,0.0,,0.0,,0.0,0.0,0.0,0.0,CL1-2025/10/16,False,False,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0,,,False,,,,,2799.HK
2025-10-15,2888.HK,149.1999969482422,151.5,148.0,151.3000030517578,151.3000030517578,392741.0,0.0,0.0,151.09836237878235,150.3076442122501,146.9219603460807,139.5158727302859,120.92283321216004,True,True,True,False,3.5,2.6133331298828124,5.226666259765625,LH,LHLLHH,141.3000030517578,2025-10-17,162.0,2025-11-04,165.89999389648438,0.17,146.10000610351562,146.10000610351562,SB1-2025/10/15,True,True,True,False,False,False,False,False,False,False,True,0.73,8.0,3.0,3.0,2.0,True,153.6,165.89999389648438,178.19998779296876,190.49998168945316,2888.HK
2025-10-27,2899.HK,33.0,33.7400016784668,32.720001220703125,32.91999816894531,32.91999816894531,61824025.0,0.0,0.0,32.58086030091624,32.08395567052197,29.70935103881501,26.370147842593923,21.65481709231268,True,True,True,False,1.020000457763672,1.4971433367047993,2.245715005057199,LH,LHLLHH,29.059999465942383,2025-11-05,34.0,2025-11-13,34.040000915527344,0.17,29.68000030517578,29.68000030517578,SB1-2025/10/27,True,True,True,False,False,False,False,False,False,False,True,0.67,4.0,2.0,1.0,1.0,True,31.55,34.040000915527344,36.53000183105469,39.02000274658203,2899.HK
2025-11-17,2899.HK,32.619998931884766,32.84000015258789,31.700000762939453,32.119998931884766,32.119998931884766,37318867.0,0.0,0.0,32.58246285364261,32.3081078680993,30.81415075604404,27.803898921392395,22.773602010408883,True,True,True,False,1.1399993896484375,1.2237504720687866,1.83562570810318,,,0.0,,0.0,,0.0,0.0,0.0,0.0,BY1-2025/10/27,False,False,False,True,False,False,False,False,False,False,False,0.0,0.0,0.0,,,False,,,,,2899.HK
2025-12-04,2899.HK,33.79999923706055,34.2400016784668,33.040000915527344,33.20000076293945,33.20000076293945,68781026.0,0.0,0.0,31.98946175563949,31.81665028548757,31.069253808660267,28.623809709445236,23.62085755076023,True,True,True,False,1.2000007629394531,0.8960001627604167,1.3440002441406251,,,0.0,,0.0,,0.0,0.0,0.0,0.0,TP1-2025/10/27,False,False,False,False,True,False,False,False,False,False,False,0.0,0.0,0.0,,,False,,,,,2899.HK
2025-11-13,0358.HK,32.08000183105469,33.34000015258789,31.89999961853028,32.86000061035156,32.86000061035156,17767409.0,0.0,0.0,32.09692150956622,31.856719322493785,29.408228601441188,25.30239320576713,19.80444916207828,True,True,True,False,1.4400005340576136,1.542222446865506,2.3133336702982588,LH,LHLLHH,28.700000762939453,2025-11-21,33.79999923706055,2025-12-01,34.439998626708984,0.2,28.780000686645508,28.780000686645508,SB1-2025/11/13,False,False,False,False,False,False,False,False,False,False,True,0.67,4.0,1.0,0.0,3.0,True,31.57,34.439998626708984,37.30999725341797,40.17999588012695,358.HK
2025-10-17,3690.HK,98.5500030517578,98.5999984741211,94.0500030517578,94.5,94.5,72221262.0,0.0,0.0,99.91908001180416,102.00922031575011,107.48472567262635,116.76184721253578,128.51785030188066,False,False,False,False,4.549995422363296,3.013332621256513,6.026665242513027,LL,LLLHHL,105.3000030517578,2025-10-30,101.1999969482422,2025-11-05,98.3000030517578,-0.07,94.0500030517578,94.0500030517578,CL1-2025/09/10,False,False,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0,,,False,,,,,3690.HK
2025-10-14,3808.HK,23.89999961853028,23.89999961853028,22.39999961853028,22.57999992370605,22.57999992370605,3874688.0,0.0,0.0,23.23319824931061,22.88579473022404,22.73788951989708,22.43603566117921,21.55024696395109,True,True,True,False,1.5,0.5876921140230611,0.8815381710345916,HL,HLHHHL,25.18000030517578,2025-10-15,23.84000015258789,2025-10-16,23.479999542236328,-0.07,20.36000061035156,20.34000015258789,BY1-2025/09/04,True,True,True,True,False,False,False,False,False,False,False,0.0,0.0,0.0,,,False,,,,,3808.HK
2025-10-15,3808.HK,22.700000762939453,25.18000030517578,22.700000762939453,25.040000915527344,25.040000915527344,7431175.0,0.0,0.0,23.561707824986375,23.07311700720694,22.828168398157093,22.487599329582142,21.57805376834612,True,True,True,False,2.479999542236328,0.6107691251314595,0.9161536876971892,HH,HHHLHH,23.479999542236328,2025-10-16,23.940000534057617,2025-10-17,25.5,0.09,20.799999237060547,20.34000015258789,TP1-2025/09/04,True,True,True,False,True,False,False,False,False,False,False,0.0,0.0,0.0,,,False,,,,,3808.HK
2025-10-30,3808.HK,25.8799991607666,26.799999237060547,25.5,26.299999237060547,26.299999237060547,5404141.0,0.0,0.0,24.98518701567245,24.21147656159967,23.50024266686584,22.91080114607184,21.82543535963216,True,True,True,False,1.2999992370605469,0.7757146017892015,1.1635719026838025,,,0.0,,0.0,,0.0,0.0,0.0,0.0,TP2-2025/09/04,False,False,False,False,False,True,False,False,False,False,False,0.0,0.0,0.0,,,False,,,,,3808.HK
2025-11-25,3808.HK,27.0,28.13999938964844,27.0,27.57999992370605,27.57999992370605,2392282.0,0.0,0.0,27.598863643650105,27.12384794242346,25.747040572132804,24.41583086386729,22.639167539566596,True,True,True,False,1.139999389648441,0.9866662555270732,1.47999938329061,LH,LHLLHH,26.600000381469727,2025-11-28,30.020000457763672,2025-12-08,30.700000762939453,0.15,26.600000381469727,25.020000457763672,SB1-2025/11/25,True,True,True,False,False,False,False,False,False,False,True,0.67,4.0,2.0,2.0,0.0,True,28.65,30.700000762939453,32.75000152587891,34.80000228881836,3808.HK
2025-12-09,3808.HK,30.020000457763672,30.600000381469727,28.39999961853028,28.600000381469727,28.600000381469727,12570984.0,0.0,0.0,28.753430301581854,28.06719618888588,26.680012076934943,25.16067780122748,23.089248958388737,True,True,True,False,2.2000007629394496,0.8682350831873281,1.3023526247809922,,,0.0,,0.0,,0.0,0.0,0.0,0.0,TP1-2025/11/25,False,False,False,True,True,False,False,False,False,False,False,0.0,0.0,0.0,,,False,,,,,3808.HK
2025-09-30,0386.HK,4.090000152587891,4.110000133514404,4.0,4.050000190734863,4.050000190734863,192418429.0,0.0,0.0,4.100421233889583,4.164434507611284,4.234041050561375,4.248918756067165,4.301257024149294,False,False,False,False,0.1100001335144043,0.0599999109903971,0.0899998664855957,LL,LLLHHL,4.130000114440918,2025-10-09,4.099999904632568,2025-10-13,4.010000228881836,-0.03,4.0,4.0,TU1-2025/06/16,False,False,False,False,False,False,False,False,False,True,False,0.0,0.0,0.0,,,False,,,,,386.HK
2025-10-02,3939.HK,9.875,10.31999969482422,9.765000343322754,10.25,10.25,12970200.0,0.0,0.0,9.504177000869944,9.115317298094872,8.54283828700599,7.6805641886773,5.761891169884132,True,True,True,False,0.5549993515014666,0.5183333290947808,0.7774999936421711,,,0.0,,0.0,,0.0,0.0,0.0,0.0,TP2-2025/07/23,False,False,False,False,False,True,False,False,False,False,False,0.0,0.0,0.0,,,False,,,,,3939.HK
2025-10-21,0004.HK,21.07999992370605,21.200000762939453,20.739999771118164,20.89999961853028,20.89999961853028,1331381.0,0.0,0.0,21.46497619992951,21.91361371378654,22.25442064829234,22.12373489894169,21.751842327748225,False,False,False,False,0.460000991821289,0.4400000572204581,0.6600000858306871,LH,LHLLHH,20.299999237060547,2025-11-03,24.420000076293945,2025-11-14,24.920000076293945,0.23,20.34000015258789,20.34000015258789,SB1-2025/10/21,True,True,True,False,False,False,False,False,False,False,True,0.89,8.0,5.0,2.0,1.0,True,22.61,24.920000076293945,27.23000015258789,29.54000022888184,4.HK
2025-11-21,0004.HK,23.280000686645508,23.280000686645508,22.68000030517578,22.86000061035156,22.86000061035156,1740921.0,0.0,0.0,23.26930197260366,22.681805342897658,22.358551387387475,22.17621397379448,21.8197216305349,True,True,True,False,0.6000003814697266,0.4826666514078778,0.7239999771118167,HL,HLLHHL,24.520000457763672,2025-11-24,23.3799991607666,2025-11-26,23.15999984741211,-0.06,20.299999237060547,20.299999237060547,BY1-2025/10/21,True,True,True,True,False,False,False,False,False,False,False,0.0,0.0,0.0,,,False,,,,,4.HK
2025-10-20,0486.HK,4.260000228881836,4.320000171661377,4.21999979019165,4.28000020980835,4.28000020980835,1055000.0,0.0,0.0,4.204762508691874,4.196369686611918,4.185492475619384,4.1344185348668985,3.849238892157394,True,True,True,False,0.1000003814697265,0.0831249058246612,0.1246873587369918,,,0.0,,0.0,,0.0,0.0,0.0,0.0,TU1-2025/08/01,False,False,False,False,False,False,False,False,False,True,False,0.0,0.0,0.0,,,False,,,,,486.HK
2025-11-13,0669.HK,89.9000015258789,92.5999984741211,89.5,92.1999969482422,92.1999969482422,2848280.0,0.0,0.0,91.3790614519386,92.72229915212596,94.28980429663508,94.61659517464224,95.50743010631268,False,False,False,False,3.0999984741210938,2.149999491373703,4.299998982747406,LH,LHLLHH,83.19999694824219,2025-11-19,96.0,2025-12-05,97.4499969482422,0.17,85.8499984741211,85.8499984741211,SB1-2025/11/13,False,False,False,False,False,False,False,False,False,False,True,0.67,8.0,6.0,1.0,1.0,True,90.32,97.4499969482422,104.5799938964844,111.70999084472662,669.HK
2025-12-10,0669.HK,91.0999984741211,91.5,90.0999984741211,91.0500030517578,91.0500030517578,3487492.0,0.0,0.0,92.1966918008871,91.6469783296052,92.45469959853894,93.34592352853586,94.7939264930436,False,False,False,False,1.4000015258789062,2.015624999999999,4.031249999999998,HL,HLLHLL,94.9000015258789,2025-12-12,89.80000305175781,2025-12-17,87.55000305175781,-0.08,84.5,83.19999694824219,BY1-2025/11/13,False,False,False,True,False,False,False,False,False,False,False,0.0,0.0,0.0,,,False,,,,,669.HK
2025-10-27,6862.HK,13.279999732971191,13.350000381469728,13.130000114440918,13.220000267028809,13.220000267028809,15786234.0,0.0,0.0,13.085819006112008,13.088471269812684,13.366465928176254,13.937515889032456,14.8232133549226,False,False,False,False,0.2200002670288103,0.2956249117851264,0.4434373676776896,LH,LHLLHH,12.489999771118164,2025-11-05,13.970000267028809,2025-11-14,14.279999732971191,0.14,12.56999969482422,12.43000030517578,SB1-2025/10/27,False,False,False,False,False,False,False,False,False,False,True,0.86,6.0,2.0,3.0,1.0,True,13.38,14.279999732971191,15.179999465942382,16.079999198913573,6862.HK
2025-11-19,6862.HK,13.619999885559082,13.649999618530272,13.350000381469728,13.460000038146973,13.460000038146973,14661822.0,0.0,0.0,13.5863980045273,13.397607490596764,13.388603293865987,13.784732498968744,14.64728415514002,False,False,True,False,0.2999992370605433,0.2712500691413877,0.4068751037120816,,,0.0,,0.0,,0.0,0.0,0.0,0.0,BY1-2025/10/27,False,False,False,True,False,False,False,False,False,False,False,0.0,0.0,0.0,,,False,,,,,6862.HK
2025-12-02,6862.HK,14.140000343322754,14.350000381469728,14.039999961853027,14.140000343322754,14.140000343322754,29332220.0,0.0,0.0,13.75633028509247,13.574996469195728,13.476567022807115,13.765138641525676,14.578533132322669,False,False,True,False,0.310000419616701,0.3041175954482136,0.4561763931723204,HH,HHHLHH,13.489999771118164,2025-12-10,14.579999923706056,2025-12-17,14.880000114440918,0.1,13.020000457763672,12.920000076293944,TP1-2025/10/27,False,False,True,False,True,False,False,False,False,False,False,0.0,0.0,0.0,,,False,,,,,6862.HK
2025-10-30,0868.HK,9.479999542236328,9.59000015258789,9.350000381469728,9.380000114440918,9.380000114440918,7894353.0,0.0,0.0,9.162675649936013,9.026894409976904,8.821296477254533,8.537563891176578,8.313807282680234,True,True,True,False,0.2399997711181623,0.256250083446502,0.384375125169753,HH,HHHLHH,8.949999809265137,2025-11-03,9.699999809265137,2025-11-11,9.729999542236328,0.09,8.449999809265137,8.449999809265137,TP2-2025/07/30,True,True,True,False,False,True,False,False,False,False,False,0.0,0.0,0.0,,,False,,,,,868.HK
2026-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TU1-2025/11/03,,,,,,,,,,True,,,,,,,,,,,,
2026-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TU1-2025/10/30,,,,,,,,,,True,,,,,,,,,,,,
2026-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TU1-2025/10/21,,,,,,,,,,True,,,,,,,,,,,,
2026-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TU1-2025/11/13,,,,,,,,,,True,,,,,,,,,,,,
2026-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TU1-2025/11/20,,,,,,,,,,True,,,,,,,,,,,,
